station_key,normalized_name,source_station_id,original_name,endpoint_mentions,first_seen,last_seen,source_id_key_count,requires_review
000caea115a40a71,"hampton street, walworth",152,"Hampton Street, Walworth",82570,2020-01-01 01:47:00,2022-09-09 21:40:00,1,False
0024c9fe46793e2d,"hop exchange, the borough",194,"Hop Exchange, The Borough",309859,2020-01-01 00:25:00,2022-09-09 22:01:00,1,False
0090873da0922598,"maclise road, olympia",687,"Maclise Road, Olympia",34102,2020-01-01 05:03:00,2021-06-16 09:30:00,1,False
00f9cfe2ea19583e,"belgrove street, king's cross",14,"Belgrove Street , King's Cross",231212,2020-01-01 00:28:00,2022-09-09 23:10:00,1,False
019e8b7d83ed4e21,"ampton street, clerkenwell",26,"Ampton Street , Clerkenwell",48049,2020-01-01 00:17:00,2022-09-09 21:48:00,1,False
01b22b7cce4006ce,"warwick row, westminster",316,"Warwick Row, Westminster",113935,2020-01-01 00:32:00,2022-09-09 22:09:00,2,True
01b90083be4f129f,"borough road, elephant & castle",92,"Borough Road, Elephant & Castle",58593,2020-01-01 00:15:00,2022-09-09 21:36:00,1,False
01cab1c149678b7e,"beryl road, hammersmith",686,"Beryl Road, Hammersmith",46163,2020-01-01 00:29:00,2022-09-09 19:56:00,1,False
020756787841b5ab,"wenlock road, hoxton",42,"Wenlock Road , Hoxton",71499,2020-01-01 01:19:00,2022-09-09 21:58:00,1,False
0288eeaeff8c78a6,"olympia way, olympia",666,"Olympia Way, Olympia",19838,2020-01-01 02:26:00,2020-10-20 08:37:00,1,False
028ccaf586cdab98,"breams buildings, holborn",84,"Breams Buildings, Holborn",38906,2020-01-01 12:47:00,2022-09-09 19:47:00,1,False
029b778b462f407b,"torrens street, angel",75,"Torrens Street, Angel",48964,2020-01-01 00:29:00,2022-09-09 23:01:00,1,False
02f93af202db86e2,"wapping lane, wapping",458,"Wapping Lane, Wapping",78841,2020-01-01 00:54:00,2022-09-09 20:00:00,1,False
0300242469f4732f,"paddington street, marylebone",56,"Paddington Street, Marylebone",79109,2020-01-01 01:22:00,2022-09-09 23:08:00,1,False
