region,title,date,notes,bunting
england-and-wales,New Year’s Day,2019-01-01,,True
england-and-wales,Good Friday,2019-04-19,,False
england-and-wales,Easter Monday,2019-04-22,,True
england-and-wales,Early May bank holiday,2019-05-06,,True
england-and-wales,Spring bank holiday,2019-05-27,,True
england-and-wales,Summer bank holiday,2019-08-26,,True
england-and-wales,Christmas Day,2019-12-25,,True
england-and-wales,Boxing Day,2019-12-26,,True
england-and-wales,New Year’s Day,2020-01-01,,True
england-and-wales,Good Friday,2020-04-10,,False
england-and-wales,Easter Monday,2020-04-13,,False
england-and-wales,Early May bank holiday (VE day),2020-05-08,,True
england-and-wales,Spring bank holiday,2020-05-25,,True
england-and-wales,Summer bank holiday,2020-08-31,,True
england-and-wales,Christmas Day,2020-12-25,,True
england-and-wales,Boxing Day,2020-12-28,Substitute day,True
england-and-wales,New Year’s Day,2021-01-01,,True
england-and-wales,Good Friday,2021-04-02,,False
england-and-wales,Easter Monday,2021-04-05,,True
england-and-wales,Early May bank holiday,2021-05-03,,True
england-and-wales,Spring bank holiday,2021-05-31,,True
england-and-wales,Summer bank holiday,2021-08-30,,True
england-and-wales,Christmas Day,2021-12-27,Substitute day,True
england-and-wales,Boxing Day,2021-12-28,Substitute day,True
england-and-wales,New Year’s Day,2022-01-03,Substitute day,True
england-and-wales,Good Friday,2022-04-15,,False
england-and-wales,Easter Monday,2022-04-18,,True
england-and-wales,Early May bank holiday,2022-05-02,,True
england-and-wales,Spring bank holiday,2022-06-02,,True
england-and-wales,Platinum Jubilee bank holiday,2022-06-03,,True
england-and-wales,Summer bank holiday,2022-08-29,,True
england-and-wales,Bank Holiday for the State Funeral of Queen Elizabeth II,2022-09-19,,False
england-and-wales,Boxing Day,2022-12-26,,True
england-and-wales,Christmas Day,2022-12-27,Substitute day,True
england-and-wales,New Year’s Day,2023-01-02,Substitute day,True
england-and-wales,Good Friday,2023-04-07,,False
england-and-wales,Easter Monday,2023-04-10,,True
england-and-wales,Early May bank holiday,2023-05-01,,True
england-and-wales,Bank holiday for the coronation of King Charles III,2023-05-08,,True
england-and-wales,Spring bank holiday,2023-05-29,,True
england-and-wales,Summer bank holiday,2023-08-28,,True
england-and-wales,Christmas Day,2023-12-25,,True
england-and-wales,Boxing Day,2023-12-26,,True
england-and-wales,New Year’s Day,2024-01-01,,True
england-and-wales,Good Friday,2024-03-29,,False
england-and-wales,Easter Monday,2024-04-01,,True
england-and-wales,Early May bank holiday,2024-05-06,,True
england-and-wales,Spring bank holiday,2024-05-27,,True
england-and-wales,Summer bank holiday,2024-08-26,,True
england-and-wales,Christmas Day,2024-12-25,,True
england-and-wales,Boxing Day,2024-12-26,,True
england-and-wales,New Year’s Day,2025-01-01,,True
england-and-wales,Good Friday,2025-04-18,,False
england-and-wales,Easter Monday,2025-04-21,,True
england-and-wales,Early May bank holiday,2025-05-05,,True
england-and-wales,Spring bank holiday,2025-05-26,,True
england-and-wales,Summer bank holiday,2025-08-25,,True
england-and-wales,Christmas Day,2025-12-25,,True
england-and-wales,Boxing Day,2025-12-26,,True
england-and-wales,New Year’s Day,2026-01-01,,True
england-and-wales,Good Friday,2026-04-03,,False
england-and-wales,Easter Monday,2026-04-06,,True
england-and-wales,Early May bank holiday,2026-05-04,,True
england-and-wales,Spring bank holiday,2026-05-25,,True
england-and-wales,Summer bank holiday,2026-08-31,,True
england-and-wales,Christmas Day,2026-12-25,,True
england-and-wales,Boxing Day,2026-12-28,Substitute day,True
england-and-wales,New Year’s Day,2027-01-01,,True
england-and-wales,Good Friday,2027-03-26,,False
england-and-wales,Easter Monday,2027-03-29,,True
england-and-wales,Early May bank holiday,2027-05-03,,True
england-and-wales,Spring bank holiday,2027-05-31,,True
england-and-wales,Summer bank holiday,2027-08-30,,True
england-and-wales,Christmas Day,2027-12-27,Substitute day,True
england-and-wales,Boxing Day,2027-12-28,Substitute day,True
england-and-wales,New Year’s Day,2028-01-03,Substitute day,True
england-and-wales,Good Friday,2028-04-14,,False
england-and-wales,Easter Monday,2028-04-17,,True
england-and-wales,Early May bank holiday,2028-05-01,,True
england-and-wales,Spring bank holiday,2028-05-29,,True
england-and-wales,Summer bank holiday,2028-08-28,,True
england-and-wales,Christmas Day,2028-12-25,,True
england-and-wales,Boxing Day,2028-12-26,,True
northern-ireland,New Year’s Day,2019-01-01,,True
northern-ireland,St Patrick’s Day,2019-03-18,Substitute day,True
northern-ireland,Good Friday,2019-04-19,,False
northern-ireland,Easter Monday,2019-04-22,,True
northern-ireland,Early May bank holiday,2019-05-06,,True
northern-ireland,Spring bank holiday,2019-05-27,,True
northern-ireland,Battle of the Boyne (Orangemen’s Day),2019-07-12,,False
northern-ireland,Summer bank holiday,2019-08-26,,True
northern-ireland,Christmas Day,2019-12-25,,True
northern-ireland,Boxing Day,2019-12-26,,True
northern-ireland,New Year’s Day,2020-01-01,,True
northern-ireland,St Patrick’s Day,2020-03-17,,True
northern-ireland,Good Friday,2020-04-10,,False
northern-ireland,Easter Monday,2020-04-13,,False
northern-ireland,Early May bank holiday (VE day),2020-05-08,,True
northern-ireland,Spring bank holiday,2020-05-25,,True
northern-ireland,Battle of the Boyne (Orangemen’s Day),2020-07-13,Substitute day,False
northern-ireland,Summer bank holiday,2020-08-31,,True
northern-ireland,Christmas Day,2020-12-25,,True
northern-ireland,Boxing Day,2020-12-28,Substitute day,True
northern-ireland,New Year’s Day,2021-01-01,,True
northern-ireland,St Patrick’s Day,2021-03-17,,True
northern-ireland,Good Friday,2021-04-02,,False
northern-ireland,Easter Monday,2021-04-05,,True
northern-ireland,Early May bank holiday,2021-05-03,,True
northern-ireland,Spring bank holiday,2021-05-31,,True
northern-ireland,Battle of the Boyne (Orangemen’s Day),2021-07-12,,False
northern-ireland,Summer bank holiday,2021-08-30,,True
northern-ireland,Christmas Day,2021-12-27,Substitute day,True
northern-ireland,Boxing Day,2021-12-28,Substitute day,True
northern-ireland,New Year’s Day,2022-01-03,Substitute day,True
northern-ireland,St Patrick’s Day,2022-03-17,,True
northern-ireland,Good Friday,2022-04-15,,False
northern-ireland,Easter Monday,2022-04-18,,True
northern-ireland,Early May bank holiday,2022-05-02,,True
northern-ireland,Spring bank holiday,2022-06-02,,True
northern-ireland,Platinum Jubilee bank holiday,2022-06-03,,True
northern-ireland,Battle of the Boyne (Orangemen’s Day),2022-07-12,,False
northern-ireland,Summer bank holiday,2022-08-29,,True
northern-ireland,Bank Holiday for the State Funeral of Queen Elizabeth II,2022-09-19,,False
northern-ireland,Boxing Day,2022-12-26,,True
northern-ireland,Christmas Day,2022-12-27,Substitute day,True
northern-ireland,New Year’s Day,2023-01-02,Substitute day,True
northern-ireland,St Patrick’s Day,2023-03-17,,True
northern-ireland,Good Friday,2023-04-07,,False
northern-ireland,Easter Monday,2023-04-10,,True
northern-ireland,Early May bank holiday,2023-05-01,,True
northern-ireland,Bank holiday for the coronation of King Charles III,2023-05-08,,True
northern-ireland,Spring bank holiday,2023-05-29,,True
northern-ireland,Battle of the Boyne (Orangemen’s Day),2023-07-12,,False
northern-ireland,Summer bank holiday,2023-08-28,,True
northern-ireland,Christmas Day,2023-12-25,,True
northern-ireland,Boxing Day,2023-12-26,,True
northern-ireland,New Year’s Day,2024-01-01,,True
northern-ireland,St Patrick’s Day,2024-03-18,Substitute day,True
northern-ireland,Good Friday,2024-03-29,,False
northern-ireland,Easter Monday,2024-04-01,,True
northern-ireland,Early May bank holiday,2024-05-06,,True
northern-ireland,Spring bank holiday,2024-05-27,,True
northern-ireland,Battle of the Boyne (Orangemen’s Day),2024-07-12,,False
northern-ireland,Summer bank holiday,2024-08-26,,True
northern-ireland,Christmas Day,2024-12-25,,True
northern-ireland,Boxing Day,2024-12-26,,True
northern-ireland,New Year’s Day,2025-01-01,,True
northern-ireland,St Patrick’s Day,2025-03-17,,True
northern-ireland,Good Friday,2025-04-18,,False
northern-ireland,Easter Monday,2025-04-21,,True
northern-ireland,Early May bank holiday,2025-05-05,,True
northern-ireland,Spring bank holiday,2025-05-26,,True
northern-ireland,Battle of the Boyne (Orangemen’s Day),2025-07-14,Substitute day,False
northern-ireland,Summer bank holiday,2025-08-25,,True
northern-ireland,Christmas Day,2025-12-25,,True
northern-ireland,Boxing Day,2025-12-26,,True
northern-ireland,New Year’s Day,2026-01-01,,True
northern-ireland,St Patrick’s Day,2026-03-17,,True
northern-ireland,Good Friday,2026-04-03,,False
northern-ireland,Easter Monday,2026-04-06,,True
