month_start,monthly_rides,previous_month_rides,mom_pct,moving_avg_3m,excluded_incomplete_days,is_complete_month
2020-01-01,702683.0,,,702683.0,0,True
2020-02-01,634646.0,702683.0,-9.7,668664.5,0,True
2020-03-01,547830.0,634646.0,-13.7,628386.3,0,True
2020-04-01,582788.0,547830.0,6.4,588421.3,0,True
2020-05-01,1102153.0,582788.0,89.1,744257.0,0,True
2020-06-01,1139072.0,1102153.0,3.3,941337.7,0,True
2020-07-01,1152311.0,1139072.0,1.2,1131178.7,0,True
2020-08-01,1136433.0,1152311.0,-1.4,1142605.3,0,True
2020-09-01,1120897.0,1136433.0,-1.4,1136547.0,0,True
2020-10-01,837070.0,1120897.0,-25.3,1031466.7,0,True
2020-11-01,749763.0,837070.0,-10.4,902576.7,0,True
2020-12-01,581394.0,749763.0,-22.5,722742.3,0,True
2021-01-01,405015.0,581394.0,-30.3,578724.0,0,True
2021-02-01,504154.0,405015.0,24.5,496854.3,0,True
2021-03-01,738522.0,504154.0,46.5,549230.3,0,True
2021-04-01,930934.0,738522.0,26.1,724536.7,0,True
2021-05-01,912059.0,930934.0,-2.0,860505.0,0,True
2021-06-01,1169603.0,912059.0,28.2,1004198.7,0,True
2021-07-01,1155434.0,1169603.0,-1.2,1079032.0,0,True
2021-08-01,1098972.0,1155434.0,-4.9,1141336.3,0,True
2021-09-01,1208914.0,1098972.0,10.0,1154440.0,0,True
2021-10-01,1099712.0,1208914.0,-9.0,1135866.0,0,True
2021-11-01,936941.0,1099712.0,-14.8,1081855.7,0,True
2021-12-01,661029.0,936941.0,-29.4,899227.3,0,True
2022-01-01,741875.0,661029.0,12.2,779948.3,0,True
2022-02-01,743581.0,741875.0,0.2,715495.0,0,True
2022-03-01,1047369.0,743581.0,40.9,844275.0,0,True
2022-04-01,1022467.0,1047369.0,-2.4,937805.7,0,True
2022-05-01,1190590.0,1022467.0,16.4,1086808.7,0,True
2022-06-01,1268701.0,1190590.0,6.6,1160586.0,0,True
2022-07-01,1303376.0,1268701.0,2.7,1254222.3,0,True
2022-08-01,1249038.0,1303376.0,-4.2,1273705.0,0,True
2022-09-01,774100.0,1249038.0,-38.0,1108838.0,3,False
2022-10-01,861664.0,774100.0,11.3,961600.7,0,True
2022-11-01,723460.0,861664.0,-16.0,786408.0,0,True
2022-12-01,470761.0,723460.0,-34.9,685295.0,0,True
2023-01-01,569504.0,470761.0,21.0,587908.3,0,True
2023-02-01,612571.0,569504.0,7.6,550945.3,0,True
2023-03-01,629728.0,612571.0,2.8,603934.3,0,True
2023-04-01,646025.0,629728.0,2.6,629441.3,0,True
2023-05-01,821882.0,646025.0,27.2,699211.7,0,True
2023-06-01,882467.0,821882.0,7.4,783458.0,0,True
2023-07-01,806754.0,882467.0,-8.6,837034.3,0,True
2023-08-01,776527.0,806754.0,-3.7,821916.0,0,True
2023-09-01,845316.0,776527.0,8.9,809532.3,0,True
2023-10-01,787406.0,845316.0,-6.9,803083.0,0,True
2023-11-01,663332.0,787406.0,-15.8,765351.3,0,True
2023-12-01,472943.0,663332.0,-28.7,641227.0,0,True
2024-01-01,557727.0,472943.0,17.9,564667.3,0,True
2024-02-01,567260.0,557727.0,1.7,532643.3,0,True
2024-03-01,646009.0,567260.0,13.9,590332.0,0,True
2024-04-01,683650.0,646009.0,5.8,632306.3,0,True
2024-05-01,820563.0,683650.0,20.0,716740.7,0,True
2024-06-01,867914.0,820563.0,5.8,790709.0,0,True
2024-07-01,881163.0,867914.0,1.5,856546.7,0,True
2024-08-01,869205.0,881163.0,-1.4,872760.7,0,True
2024-09-01,791965.0,869205.0,-8.9,847444.3,0,True
2024-10-01,831179.0,791965.0,5.0,830783.0,0,True
2024-11-01,711915.0,831179.0,-14.3,778353.0,0,True
2024-12-01,526602.0,711915.0,-26.0,689898.7,0,True
2025-01-01,568033.0,526602.0,7.9,602183.3,0,True
2025-02-01,574284.0,568033.0,1.1,556306.3,0,True
2025-03-01,775127.0,574284.0,35.0,639148.0,0,True
2025-04-01,761433.0,775127.0,-1.8,703614.7,0,True
2025-05-01,859585.0,761433.0,12.9,798715.0,0,True
2025-06-01,858439.0,859585.0,-0.1,826485.7,0,True
2025-07-01,898688.0,858439.0,4.7,872237.3,0,True
2025-08-01,804756.0,898688.0,-10.5,853961.0,1,False
2025-09-01,866350.0,804756.0,7.7,856598.0,0,True
2025-10-01,830606.0,866350.0,-4.1,833904.0,0,True
2025-11-01,712833.0,830606.0,-14.2,803263.0,0,True
2025-12-01,557919.0,712833.0,-21.7,700452.7,0,True
