ride_date,daily_rides,moving_avg_30d,moving_std_30d,rolling_z_score,needs_review
2020-01-01,10955.0,10955.0,,,False
2020-01-02,18501.0,14728.0,5335.8,0.71,False
2020-01-03,18245.0,15900.3,4284.7,0.55,False
2020-01-04,15506.0,15801.8,3504.0,-0.08,False
2020-01-05,12824.0,15206.2,3313.9,-0.72,False
2020-01-06,23537.0,16594.7,4511.4,1.54,False
2020-01-07,27233.0,18114.4,5755.7,1.58,False
2020-01-08,28046.0,19355.9,6381.6,1.36,False
2020-01-09,26387.0,20137.1,6413.1,0.97,False
2020-01-10,26591.0,20782.5,6381.5,0.91,False
2020-01-11,18023.0,20531.6,6110.9,-0.41,False
2020-01-12,16313.0,20180.1,5952.4,-0.65,False
2020-01-13,23637.0,20446.0,5779.1,0.55,False
2020-01-14,22809.0,20614.8,5588.2,0.39,False
2020-01-15,22276.0,20725.5,5401.9,0.29,False
2020-01-16,26082.0,21060.3,5387.8,0.93,False
2020-01-17,25565.0,21325.3,5329.9,0.8,False
2020-01-18,19579.0,21228.3,5187.2,-0.32,False
2020-01-19,17715.0,21043.4,5105.0,-0.65,False
2020-01-20,28009.0,21391.7,5207.3,1.27,False
2020-01-21,28491.0,21729.7,5306.6,1.27,False
2020-01-22,27501.0,21992.0,5322.9,1.03,False
2020-01-23,28179.0,22261.0,5358.1,1.1,False
2020-01-24,26165.0,22423.7,5300.6,0.71,False
2020-01-25,18001.0,22246.8,5263.8,-0.81,False
2020-01-26,12725.0,21880.6,5485.1,-1.67,False
2020-01-27,23289.0,21932.7,5385.4,0.25,False
2020-01-28,27903.0,22146.0,5403.9,1.07,False
2020-01-29,28724.0,22372.8,5445.3,1.17,False
2020-01-30,27710.0,22550.7,5438.6,0.95,False
2020-01-31,26162.0,23057.6,5012.5,0.62,False
2020-02-01,20062.0,23109.6,4971.5,-0.61,False
2020-02-02,16013.0,23035.2,5062.7,-1.39,False
2020-02-03,28025.0,23452.5,4935.0,0.93,False
2020-02-04,29115.0,23995.6,4610.8,1.11,False
2020-02-05,29444.0,24192.5,4715.5,1.11,False
2020-02-06,29234.0,24259.2,4773.8,1.04,False
2020-02-07,27981.0,24257.0,4772.0,0.78,False
2020-02-08,21546.0,24095.6,4779.4,-0.53,False
2020-02-09,6412.0,23423.0,5739.6,-2.96,True
2020-02-10,21687.0,23545.1,5659.1,-0.33,False
2020-02-11,26701.0,23891.4,5517.4,0.51,False
2020-02-12,27653.0,24025.3,5559.6,0.65,False
2020-02-13,25223.0,24105.7,5558.8,0.2,False
2020-02-14,26277.0,24239.1,5561.4,0.37,False
2020-02-15,9734.0,23694.2,6144.9,-2.27,True
2020-02-16,6427.0,23056.2,6892.0,-2.41,True
2020-02-17,25484.0,23253.1,6873.6,0.32,False
2020-02-18,24966.0,23494.8,6799.2,0.22,False
2020-02-19,24066.0,23363.3,6746.8,0.1,False
2020-02-20,22482.0,23163.0,6678.2,-0.1,False
2020-02-21,24654.0,23068.1,6634.5,0.24,False
2020-02-22,18448.0,22743.8,6613.9,-0.65,False
2020-02-23,13925.0,22335.8,6771.2,-1.24,False
2020-02-24,23309.0,22512.7,6723.2,0.12,False
2020-02-25,26794.0,22981.7,6504.0,0.59,False
2020-02-26,27841.0,23133.4,6564.3,0.72,False
2020-02-27,20180.0,22876.0,6522.1,-0.41,False
2020-02-28,18539.0,22536.5,6472.1,-0.62,False
2020-02-29,12424.0,22026.9,6650.0,-1.44,False
