day_type,hour_of_day,observed_hours,avg_rides,median_rides,peak_observation
non_workday,0,675,458.0,396.0,1470
non_workday,1,669,332.3,268.0,2000
non_workday,2,675,213.2,174.0,1084
non_workday,3,675,143.1,118.0,696
non_workday,4,675,94.8,79.0,447
non_workday,5,675,82.7,77.0,320
non_workday,6,675,142.9,140.0,341
non_workday,7,675,281.4,277.0,721
non_workday,8,675,545.0,546.0,1176
non_workday,9,675,950.3,960.0,1882
non_workday,10,675,1385.3,1394.0,2808
non_workday,11,675,1766.1,1691.0,4612
non_workday,12,675,2078.3,1927.0,6287
non_workday,13,675,2213.6,2002.0,6772
non_workday,14,675,2239.7,1999.0,6832
non_workday,15,675,2216.6,1978.0,6519
non_workday,16,675,2139.8,1942.0,6237
non_workday,17,675,1956.4,1785.0,6374
non_workday,18,675,1715.9,1573.0,6154
non_workday,19,675,1343.4,1169.0,5495
non_workday,20,675,968.5,821.0,4099
non_workday,21,675,711.1,609.0,2714
non_workday,22,675,606.0,529.0,2241
non_workday,23,675,464.7,383.0,2820
workday,0,1513,197.8,165.0,2285
workday,1,1513,106.1,86.0,1255
workday,2,1513,61.5,50.0,400
workday,3,1513,43.5,37.0,166
workday,4,1513,54.4,52.0,152
workday,5,1513,143.2,147.0,328
workday,6,1513,618.2,640.0,1557
workday,7,1513,1644.0,1715.0,3936
workday,8,1513,2846.3,2983.0,5608
workday,9,1513,1642.7,1725.0,3407
workday,10,1513,1064.0,1080.0,2703
workday,11,1513,1065.6,1050.0,2713
workday,12,1513,1275.6,1239.0,3084
workday,13,1513,1317.1,1256.0,3287
workday,14,1513,1291.9,1200.0,3597
workday,15,1513,1459.5,1369.0,4149
workday,16,1513,1873.4,1807.0,5176
workday,17,1513,2905.7,2948.0,6792
workday,18,1513,2874.8,2852.0,7495
workday,19,1513,1918.8,1848.0,5686
workday,20,1513,1246.1,1174.0,3812
workday,21,1513,899.9,844.0,3068
workday,22,1513,715.5,673.0,2322
workday,23,1513,451.7,401.0,2281
