hour_of_day,rain_label,observed_hours,avg_rides,median_rides
0,dry,1942,289.6,221.0
0,rainy,246,187.2,138.0
1,dry,1926,182.4,121.0
1,rainy,256,123.1,81.0
2,dry,1916,112.3,70.0
2,rainy,272,80.7,49.5
3,dry,1937,76.9,50.0
3,rainy,251,53.4,36.0
4,dry,1918,69.2,59.0
4,rainy,270,50.2,44.0
5,dry,1923,127.9,138.0
5,rainy,265,100.2,102.0
6,dry,1922,485.6,566.5
6,rainy,266,370.2,373.5
7,dry,1896,1263.8,1454.5
7,rainy,292,962.8,923.0
8,dry,1891,2210.1,2387.0
8,rainy,297,1666.5,1495.0
9,dry,1839,1483.8,1562.0
9,rainy,349,1140.7,1119.0
10,dry,1756,1212.0,1170.0
10,rainy,432,964.3,948.0
11,dry,1677,1347.7,1201.0
11,rainy,511,1065.2,991.0
12,dry,1651,1613.8,1434.0
12,rainy,537,1245.0,1146.0
13,dry,1647,1704.7,1463.0
13,rainy,541,1255.7,1139.0
14,dry,1575,1720.9,1450.0
14,rainy,613,1233.2,1097.0
15,dry,1646,1799.8,1545.5
15,rainy,542,1369.1,1224.0
16,dry,1709,2066.6,1917.0
16,rainy,479,1559.5,1436.0
17,dry,1779,2730.0,2795.0
17,rainy,409,2103.5,2140.0
18,dry,1780,2636.4,2656.0
18,rainy,408,1997.7,1980.5
19,dry,1839,1813.0,1717.0
19,rainy,349,1363.7,1267.0
20,dry,1854,1213.8,1126.0
20,rainy,334,864.6,778.0
21,dry,1906,881.0,814.0
21,rainy,282,575.7,508.0
22,dry,1933,709.9,659.0
22,rainy,255,467.7,405.0
23,dry,1941,476.6,413.0
23,rainy,247,291.5,254.0
