month_start,ride_date,daily_rides,demand_rank
2020-01-01,2020-01-29,28724.0,1
2020-01-01,2020-01-21,28491.0,2
2020-01-01,2020-01-23,28179.0,3
2020-02-01,2020-02-05,29444.0,1
2020-02-01,2020-02-06,29234.0,2
2020-02-01,2020-02-04,29115.0,3
2020-03-01,2020-03-11,29462.0,1
2020-03-01,2020-03-03,28939.0,2
2020-03-01,2020-03-10,27868.0,3
2020-04-01,2020-04-19,39432.0,1
2020-04-01,2020-04-26,38285.0,2
2020-04-01,2020-04-25,37525.0,3
2020-05-01,2020-05-30,69032.0,1
2020-05-01,2020-05-25,65924.0,2
2020-05-01,2020-05-31,62001.0,3
2020-06-01,2020-06-13,63994.0,1
2020-06-01,2020-06-20,63048.0,2
2020-06-01,2020-06-14,56622.0,3
2020-07-01,2020-07-18,55809.0,1
2020-07-01,2020-07-11,50569.0,2
2020-07-01,2020-07-12,48852.0,3
2020-08-01,2020-08-01,48870.0,1
2020-08-01,2020-08-08,46942.0,2
2020-08-01,2020-08-09,44027.0,3
2020-09-01,2020-09-19,51025.0,1
2020-09-01,2020-09-20,47110.0,2
2020-09-01,2020-09-12,46931.0,3
2020-10-01,2020-10-10,34351.0,1
2020-10-01,2020-10-01,33999.0,2
2020-10-01,2020-10-07,33818.0,3
2020-11-01,2020-11-07,39859.0,1
2020-11-01,2020-11-04,36523.0,2
2020-11-01,2020-11-21,34803.0,3
2020-12-01,2020-12-05,31014.0,1
2020-12-01,2020-12-12,28846.0,2
2020-12-01,2020-12-15,25748.0,3
2021-01-01,2021-01-17,24580.0,1
2021-01-01,2021-01-23,24137.0,2
2021-01-01,2021-01-09,19463.0,3
2021-02-01,2021-02-27,51673.0,1
2021-02-01,2021-02-20,39331.0,2
2021-02-01,2021-02-21,33111.0,3
2021-03-01,2021-03-30,49114.0,1
2021-03-01,2021-03-31,39837.0,2
2021-03-01,2021-03-27,39620.0,3
2021-04-01,2021-04-04,46711.0,1
2021-04-01,2021-04-24,44746.0,2
2021-04-01,2021-04-17,42443.0,3
2021-05-01,2021-05-31,52517.0,1
2021-05-01,2021-05-29,49256.0,2
2021-05-01,2021-05-30,47191.0,3
2021-06-01,2021-06-05,56194.0,1
2021-06-01,2021-06-12,55680.0,2
2021-06-01,2021-06-26,49445.0,3
2021-07-01,2021-07-17,51453.0,1
2021-07-01,2021-07-22,46032.0,2
2021-07-01,2021-07-18,46029.0,3
2021-08-01,2021-08-14,44739.0,1
2021-08-01,2021-08-04,43709.0,2
2021-08-01,2021-08-11,42690.0,3
2021-09-01,2021-09-18,50778.0,1
2021-09-01,2021-09-25,48026.0,2
2021-09-01,2021-09-07,46207.0,3
2021-10-01,2021-10-09,47379.0,1
2021-10-01,2021-10-06,40534.0,2
2021-10-01,2021-10-14,40312.0,3
2021-11-01,2021-11-18,35993.0,1
2021-11-01,2021-11-11,35499.0,2
2021-11-01,2021-11-17,35237.0,3
2021-12-01,2021-12-02,29588.0,1
2021-12-01,2021-12-08,29319.0,2
2021-12-01,2021-12-01,28620.0,3
2022-01-01,2022-01-29,31779.0,1
2022-01-01,2022-01-27,29499.0,2
2022-01-01,2022-01-26,28851.0,3
2022-02-01,2022-02-26,33628.0,1
2022-02-01,2022-02-02,32730.0,2
2022-02-01,2022-02-10,32338.0,3
2022-03-01,2022-03-03,55978.0,1
2022-03-01,2022-03-26,50367.0,2
2022-03-01,2022-03-23,40973.0,3
2022-04-01,2022-04-15,43511.0,1
2022-04-01,2022-04-30,42691.0,2
2022-04-01,2022-04-16,42496.0,3
2022-05-01,2022-05-14,53418.0,1
2022-05-01,2022-05-21,45809.0,2
2022-05-01,2022-05-22,45421.0,3
2022-06-01,2022-06-21,64194.0,1
2022-06-01,2022-06-22,53917.0,2
2022-06-01,2022-06-17,48821.0,3
2022-07-01,2022-07-16,47720.0,1
2022-07-01,2022-07-09,46587.0,2
2022-07-01,2022-07-13,46348.0,3
2022-08-01,2022-08-19,66409.0,1
2022-08-01,2022-08-20,47613.0,2
2022-08-01,2022-08-10,44206.0,3
2022-09-01,2022-09-03,37716.0,1
2022-09-01,2022-09-01,37513.0,2
2022-09-01,2022-09-07,36211.0,3
2022-10-01,2022-10-11,32976.0,1
2022-10-01,2022-10-06,32911.0,2
2022-10-01,2022-10-18,32134.0,3
2022-11-01,2022-11-10,44491.0,1
2022-11-01,2022-11-11,30372.0,2
